"Add Attribute","Attribute hinzufügen"
"Add after","Hinzufügen nach"
"Add to bottom","Unten hinzufügen"
"Add to top","Oben hinzufügen"
"Ajax page load threshold ","Ajax Seitenlade-Grenzwert "
"Allows product attributes to be displayed in the drag-and-drop window. Use commas ',' to separate multiple attribute codes.","Ermöglicht die Anzeige von Produktattributen im Drag-and-Drop-Fenster. Verwenden Sie Kommata ',', um mehrere Attribut-Codes zu trennen."
"Assign Products","Produkte zuweisen"
"Attribute","Attribut"
"Attributes","Attribute"
"Automatic sort","Automatisch sortieren"
"Best seller data period (months)","Bestsellerdaten Zeitraum (Monat)"
"Clone category ID(s)","Kategorie-ID(s) klonen"
"Color attribute code to use","Zu nutzenden Attributcode einfärben"
"Color order","Auftrag einfärben"
"Column count","Spaltenzähler"
"Cron schedule","Cron-Zeitplan"
"Date Created (days ago)","Erstelldatum (vor Tagen)"
"Date Modified (days ago)","Änderungsdatum (vor Tagen)"
"Default number of columns in the drag-and-drop window. Maximum value is 5.","Standardnummer der Spalten im Drag-and-Drop Fenster. Maximalwert ist 5."
"Delete","Löschen"
"Each color being on a separate row.","Jede Farbe ist in einer anderen Zeile."
"Hero Products","Hero Products"
"Hide category position input fields","Kategoriepositions-Eingabefelder verbergen"
"Hide disabled products","Deaktivierte Produkte verbergen"
"Hide not-visible products","Nicht sichtbare Produkte verbergen"
"Highest margin first","Höchster Rand zuerst"
"If set to 'Yes' (recommended), then when a category is saved any changes that need to be considered for smart category rules are queued for processing by cron.","Bei 'Ja' (empfohlen) werden alle Änderungen, die für die smarten Kategorie-Regeln in Betracht gezogen werden müssen, nach Cron zur Verarbeitung eingereiht, wenn eine Kategorie gespeichert wird."
"If set to 'Yes' (recommended), then when a product is saved any changes to attributes that need to be considered for smart category rules are queued for processing by cron.","Bei 'Ja' (empfohlen) werden alle Attribute, die für die smarten Kategorie-Regeln in Betracht gezogen werden müssen, nach Cron zur Verarbeitung eingereiht, wenn ein Produkt gespeichert wird."
"Image file was not found.","Bilddatei wurde nicht gefunden."
"Launch Merchandiser","Merchandiser starten"
"List attribute codes","Listenattribut-Codes"
"Logic","Logik"
"Lookup period used when sorting by bestsellers","Zeitraum, der genutzt wird, ansehen, wenn nach Bestsellern sortiert wird"
"Max extra images thumbnail ","Max Extrabild-Thumbnail "
"Minimum stock threshold","Minimale Vorratsschwelle"
"Move best sellers to top","Bestseller an die Spitze verschieben"
"Move low stock to top","Niedrige Vorräte an die Spitze verschieben"
"Move out of stock to bottom","Ausverkaufte nach unten verschieben"
"New product handling","Neues Produkthandling"
"Newest products first","Neueste Produkte zuerst"
"No","Nein"
"No Category set","Keine Kategorie eingestellt"
"Only include products matched by rules","Nur Produkte verwenden, die den Regeln entsprechen"
"Options","Optionen"
"Please enter SKUs below, one per line.","Bitte geben Sie unten SKUs ein, eines pro Zeile."
"Queued updates to categories will only be processed automatically if this is set to 'Yes' (recommended).","Anstehende Updates für Kategorien werden nur automatisch verarbeitet, wenn dies auf 'Ja' gestellt ist (empfohlen)."
"Re-build Visual Merchandiser categories","Visual Merchandiser-Kategorien erneuern"
"Rebuild Category Products for Smart Categories","Kategorieprodukte für smarte Kategorien erneuern"
"Rebuild On Cron","Auf Cron erneuern"
"Rebuild on category save","Auf Kategoriespeicherung erneuern"
"Rebuild on product save","Auf Produktspeicherung erneuern"
"Remove Products","Produkte entfernen"
"Save Positions","Positionen speichern"
"Saving category","Speichere Kategorie"
"Show Visual Merchandiser","Visual Merchandiser anzeigen"
"Show creation date ","Erstelldatum anzeigen "
"Show extra images ","Extrabilder anzeigen "
"Shows product creation dates in the drag-and-drop window.","Zeigt Produkt-Erstelldaten im Drag-and-Drop-Fenster an."
"Smart Category: Select the attributes to use","Smarte Kategorie: Wählen Sie die zu verwendenden Attribute"
"Sort by color","Nach Farbe sortieren"
"Special price to bottom","Sonderpreis nach unten"
"Special price to top","Sonderpreis nach oben"
"Stock: ","Lager: "
"This hides products in the drag-and-drop window that are disabled.","Damit werden deaktivierte Produkte im Drag-and-Drop-Fenster ausgeblendet."
"This hides products in the drag-and-drop window that have their visibility set to 'Not Visible Individually'.","Damit werden Produkte im Drag-and-Drop-Fenster ausgeblendet, deren Sichtbarkeit auf 'Nicht einzeln sichtbar' eingestellt ist."
"This is the attribute that should be used to sort by color.","Dies ist das Attribut, welches nach Farbe sortiert werden soll."
"This is the current schedule that category updates are processed.","Nach diesem Zeitplan werden Kategorie-Updates derzeit verarbeitet."
"This option shows additional gallery images for each product as thumbnails.","Mit dieser Option werden zusätzliche Galerie-Bilder für jedes Produkt als Thumbnails angezeigt."
"This prevents manual updating of category positions in Manage Categories.","Damit werden manuelle Aktualisierungen von Kategoriepositionen in der Kategorieverwaltung verhindert."
"Value","Wert"
"Visual Merchandiser","Visual Merchandiser"
"Visual Merchandiser categories rebuilt successfully.","Visual Merchandiser-Kategorien erfolgreich erneuert."
"Visual Merchandising Options","Visual Merchandising-Optionen"
"When a category contains more products than this number, then Ajax page loads are enabled. Leave field empty to disable Ajax page loads - however, this may cause large categories not to load properly in the drag-and-drop window.","Enthält eine Kategorie eine höhere Zahl von Produkten als diese, werden Ajax Page Loads aktiviert. Lassen Sie dieses Feld leer, um Ajax Page Loads zu deaktivieren - allerdings können große Kategorien dann möglicherweise im Drag-and-Drop-Fenster nicht richtig geladen werden."
"When new products get included in a category for the first time by a smart category rule, this setting determines whether they are automatically added to the top or bottom of the category.","Werden neue Produkte erstmals über eine smarte Kategorieregel in eine Kategorie aufgenommen, bestimmt diese Einstellung, ob sie unten oder oben automatisch in der Kategorie eingefügt werden."
"Yes","Ja"
"categories","Kategorien"
"category","Kategorie"
"false","false"
