" (no data)"," (geen gegevens)"
"&copy; Magento Inc., %s<br />v%s","&copy; Magento Inc., %s<br />v%s"
"(now)","(nu)"
"Action","actie"
"Active Class Rewrites","Actieve class-rewrites"
"Actual Children Count","Werkelijk aantal kinderen"
"Actual Level","Werkelijk niveau"
"Add Secret Key to URLs","Voeg Geheime Toets toe aan URL's"
"Additional Attribute Table","Extra attributentabel"
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Nadat u uw keuzes hebt gemaakt, klikt u op de knop ""Create"". Blijf daarna even wachten, terwijl het systeemverslag wordt gegenereerd. Dit kan enkele minuten duren. U ontvangt een melding zodra deze stap is voltooid."
"All","Allen"
"All Admin Events","Alle admin-events"
"All Configurable Cron Jobs","Alle configureerbare cronjobs"
"All Eav Attributes","Alle Eav-attributen"
"All Global Cron Jobs","Alle globale cronjobs"
"All Global Events","Alle globale events"
"All Modules List","Lijst met alle modules"
"All processes should be complete","Alle processen moeten voltooid zijn."
"An error occurred while deleting the system report. Please review log and try again.","Er is een fout opgetreden tijdens het verwijderen van het systeemverslag. Raadpleeg het logbestand en probeer het opnieuw."
"An error occurred while mass deleting the system reports. Please review log and try again.","Er is een fout opgetreden tijdens het massaal verwijderen van de systeemverslagen. Raadpleeg het logbestand en probeer het opnieuw."
"An error occurred while the system report was being created. Please review the log and try again.","Er is een fout opgetreden bij het aanmaken van het systeemverslag. Raadpleeg het logbestand en probeer het opnieuw."
"And more...","En meer..."
"Apache Loaded Modules","Door Apache geladen modules"
"Apache Version","Apache-versie"
"Applied Solutions List","Lijst toegepaste oplossingen"
"Are you sure you want to delete the backup?","Weet u zeker dat u de back-up wilt verwijderen?"
"Are you sure you want to delete the system report?","Weet u zeker dat u het systeemverslag wilt verwijderen?"
"Are you sure you want to delete these system reports?","Weet u zeker dat u deze systeemverslagen wilt verwijderen?"
"Associated Tags","Gerelateerde tags"
"Attribute Flags:","Attribuutvlaggen:"
"Attribute Model","Kenmerk Model"
"Attribute Types:","Attribuuttypes:"
"Back","Terug"
"Backend Model","Achterkant Model"
"Backup ID: ","Back-up ID: "
"Backup Log Details","Back-up logdetails"
"Banners","banners"
"Base Currency","Basis Munteenheid"
"Base Secured URL","Base beveiligde URL"
"Base Unsecured URL","Base onbeveiligde URL"
"CMS Pages","CMS pagina's"
"Cache","Cache"
"Cache Status","Cache-status"
"Cannot delete backup","Kan back-up niet verwijderen"
"Cannot save backup","Kan back-up niet bewaren"
"Capture Offline","Offline Vastleggen"
"Capture Online","Online Vastleggen"
"Catalog Price Rules","Catalogusprijs Regels"
"Categories, Products","Categorieën, producten"
"Category Attributes","Categorie attributen"
"Category Eav Attributes","Categorie eav-attributen"
"Chose Report Types","Kies rapporttypen"
"Class","Class"
"Class Rewrite Conflicts","Conflicterende class-rewrites"
"Code","Code"
"Code Dump","Codedump"
"Code Pool","Codepool"
"Collapse","Inklappen"
"Collation","Collatie"
"Column %s","Kolom %s"
"Columns:","Kolommen:"
"Comment","Commentaar"
"Commit","Commit"
"Compilation","Compilatie"
"Compiled","Gecompileerd"
"Compiler Status","Compiler status"
"Complete","Compleet"
"Config Version","Configversie"
"Configuration","Configuratie"
"Constraints:","Beperkingen:"
"Controller Rewrites","Controller-rewrites"
"Cookie Domain","cookie domein"
"Cookie Lifetime","cookie levensduur"
"Cookie Path","cookie pad"
"Cookie Restriction Mode","Cookie Restrictie Modus"
"Core Action(s)","Core-actie(s)"
"Core Admin Events","Core-admin-events"
"Core Cache Records","Core-cacherecords"
"Core Cache Tags","Core-cachetags"
"Core Configurable Cron Jobs","Configureerbare core-cronjobs"
"Core Controller","Core-controller"
"Core File","Corebestand"
"Core Global Cron Jobs","Globale core-cronjobs"
"Core Global Events","Globale core-events"
"Core Modules List","Lijst coremodules"
"Core Pool","Corepool"
"Corrupted Categories Data","Gegevens beschadigde categorieën"
"Corrupted Data","Beschadigde gegevens"
"Count","Aantal"
"Create","Maak aan"
"Create System Report","Systeemverslag maken"
"Create Time","Aanmaaktijd"
"Created At","Gemaakt op"
"Cron","Cron"
"Cron Expression","Cron-expressie"
"Cron Schedules List","Lijst cronschema's"
"Cron Schedules by job code","Cron-schedules naar jobcode"
"Cron Schedules by status code","Cron-schedules naar statuscode"
"Current Package Name","huidige pakketnaam"
"Custom Action(s)","Aangepaste Actie(s)"
"Custom Admin Events","Aangepaste admin-events"
"Custom Configurable Cron Jobs","Aangepaste configureerbare cronjobs"
"Custom Controller","Aangepaste controller"
"Custom Global Cron Jobs","Aangepaste globale cronjobs"
"Custom Global Events","Aangepaste globale events"
"Custom Modules List","Lijst aangepaste modules"
"Custom Pool","Custom pool"
"Customer Address Attributes","Klantadres-attributen"
"Customer Address Eav Attributes","Klantadres-eav-attributen"
"Customer Attributes","Klant-attributen"
"Customer Eav Attributes","Klant-eav-attributen"
"Customer ID","Klant ID"
"Customer Segment Functionality","Klantsegment-functionaliteit"
"Customer Segments","klanten segmenten"
"Customers","klanten"
"DB Data Version","DB-gegevensversie"
"DB Dump","DB-dump"
"DB MyISAM Tables Status","Status DB-MyISAM-tabellen"
"DB Routines List","Lijst DB-routines"
"DB Table Prefix","Prefix DB-tabel"
"DB Tables","DB-tabellen"
"DB Tables Status","Status DB-tabellen"
"DB Triggers List","Lijst DB-triggers"
"DB Version","DB-versie"
"Data","Gegevens"
"Data Count","Hoeveelheid gegevens"
"Data from app/etc/config.xml","Gegevens uit app/etc/config.xml"
"Data from app/etc/enterprise.xml","Gegevens uit app/etc/enterprise.xml"
"Data from app/etc/local.xml","Gegevens uit app/etc/local.xml"
"Date","Datum"
"Date Generated","Gegevens gegenereerd"
"Default Store","Standaard winkel"
"Default Store View","Standaard winkelweergave"
"Default Theme","Standaard thema"
"Delete","weghalen"
"Description","Omschrijving"
"Design","Ontwerp"
"Design Themes Config","Ontwerpthema's config"
"Directory %s should have writable & readable permissions","Map %s moet schrijf- en leespermissies hebben"
"Disabled","Uitgeschakeld"
"Disabled Modules List","Lijst uitgeschakelde modules"
"Document Root","Document-root"
"Download","Download"
"Duplicate Categories by URL key","Dubbele categorieën naar URL-key"
"Duplicate Orders By Increment ID","Dubbele bestellingen naar increment-ID"
"Duplicate Products By SKU","Dubbele producten naar SKU"
"Duplicate Products By URL Key","Dubbele producten naar URL-Key"
"Email","E-mail"
"Empty log","Lege log"
"Enable Log","Log inschakelen"
"Enabled","Aan"
"Engine","Engine"
"Enterprise Admin Events","Enterprise-admin-events"
"Enterprise Configurable Cron Jobs","Configureerbare enterprise-cronjobs"
"Enterprise Global Cron Jobs","Globale enterprise-cronjobs"
"Enterprise Global Events","Globale enterprise-events"
"Enterprise Modules List","Lijst enterprise-modules"
"Entity","Entiteit"
"Entity Type Code","Entiteit-typecode"
"Entity Types","Entiteit-types"
"Environment","Environment"
"Environment Information","Environment-informatie"
"Error","Fout"
"Errors in Cron Schedules Queue","Fouten in cron-schedulesqueue"
"Event Name","Naam event"
"Events","gebeurtenissen"
"Executed At","Uitgevoerd om"
"Expand","Uitklappen"
"Expected Children Count","Verwacht aantal kinderen"
"Expected Level","Verwacht niveau"
"Extra","Extra"
"Factory Name","Factory-naam"
"Failed","Mislukt"
"File","Bestand"
"File Name","Bestandsnaam"
"File Rewrites","File-rewrites"
"File does not exist","Bestand bestaat niet"
"File is not readable","Bestand is niet leesbaar"
"File is too big","Bestand is te groot"
"Files","Bestanden"
"Files Count","Aantal bestanden"
"Files Permissions","Bestandspermissies"
"Finished At","Voltooid om"
"Fixed Product Taxes (FPT)","Vaste productbelastingen (VPB)"
"Flat Catalog Category","Flat Catalog-categorie"
"Flat Catalog Product","Flat Catalog-product"
"For Checkout","Voor het afrekenen"
"For Multishipping","Voor meer verzendadressen"
"From","Van"
"Frontend Model","Model Voorkant"
"Full Page Cache Crawler","Fullpage cache-crawler"
"Fully completed: %s","Volledig voltooid: %s"
"General","Normaal"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Verzending - Precies Uitgerekend"
"Google Checkout Shipping - Digital Delivery","Google Checkout Verzending - Digitale Levering"
"Google Checkout Shipping - Flat Rate","Google Checkout verzending - Proportioneel Tarief"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Verzending - Prijs wordt overeengekomen na opgave van adres"
"Group","Groep"
"ID","identiteit"
"Incomplete","Incompleet"
"Increment ID","Increment-ID"
"Increment Model","Increment model"
"Index","Index"
"Index Status","Index-status"
"Input command to run list is empty","Ingevoerd commando om lijst te draaien is leeg"
"Invalidated","Ongeldig gemaakt"
"Is Active","Is actief"
"Is Default","Is Standaard"
"Is Gateway","Is gateway"
"Is Visible","Is zichtbaar"
"Job Code","Jobcode"
"Keys:","Keys:"
"Last Occurrence","Last Occurrence"
"Last Update","Laatste update"
"Layouts Theme","Layouts Theme"
"Log Customers","Log klanten"
"Log Details","Log details"
"Log Entries","Log invoer"
"Log Files","Log bestanden"
"Log Quotes","Log offertes"
"Log Tables Cleaning","Log opschonen tabellen"
"Log URLs","Log URL's"
"Log Visitors","Log bezoekers"
"Log Visitors Online","Log online bezoekers"
"Logs","Logs"
"Magento Version","Magento-versie"
"Main Table","Hoofdtabel"
"Maintenance Mode","Onderhouds Modus"
"Manage Backups","Back-ups beheren"
"Manage Reports","Verslagen beheren"
"Manage System Backups","Systeemback-ups beheren"
"Manage System Reports","Systeemverslagen beheren"
"Merge CSS Files","CSS Bestanden Samenvoegen"
"Merge JavaScript Files","Voeg JavaScript bestanden samen"
"Message","Bericht"
"Method","Methode"
"Missing Core Files","Ontbrekende corebestanden"
"Missing Core Tables","Ontbrekende coretabellen"
"Missing DB Routines List","Lijst ontbrekende DB-routines"
"Missing DB Triggers List","Lijst ontbrekende DB-triggers"
"Missing Data","Ontbrekende gegevens"
"Mode","Modus"
"Model","Model"
"Modified Core Files","Gewijzigde corebestanden"
"Modified Core Tables","Gewijzigde coretabellen"
"Module","Module"
"Modules","Modules"
"MySQL Configuration","MySQL-configuratie"
"MySQL Databases Present","Aanwezige MySQL-databases"
"MySQL Plugins","MySQL-plugins"
"MySQL Server Version","MySQL-serverversie"
"MySQL Status","MySQL-status"
"MySQL Supported Engines","Door MySQL ondersteunde engines"
"Name","Naam"
"Never","Nooit"
"New Backup","Nieuwe back-up"
"New Class","Nieuwe Klasse"
"New DB Routines List","Lijst nieuwe DB-routines"
"New DB Tables","Nieuwe DB-tabellen"
"New DB Triggers List","Lijst nieuwe DB-triggers"
"New Data","Nieuwe gegevens"
"New Eav Attributes","Nieuwe eav-attributen"
"New Files","Nieuwe bestanden"
"New Report","Nieuw verslag"
"No","Nee"
"No data","Geen gegevens"
"No types were specified to generate system report.","Er zijn geen types opgegeven om systeemverslag te genereren."
"Not Compiled","Niet gecompileerd"
"Not completed at all: %s","Helemaal niet voltooid: %s"
"OS Information","OS-informatie"
"OS X","OS X"
"Observer Class","Observer-class"
"Original Class","Oorspronkelijke class"
"Output","Uitvoer"
"Owner","Eigenaar"
"PHP Additional .ini files parsed","Door PHP geparste extra ini-bestanden"
"PHP Configuration","PHP-configuratie"
"PHP Loaded Config File","Door PHP geladen config-bestand"
"PHP Loaded Modules","Door PHP geladen modules"
"PHP Version","PHP versie"
"Parameter","Parameter"
"Partial Capture Offline","Gedeeltelijke registratie offline"
"Partial Capture Online","Gedeeltelijke registratie online"
"Partial Refund Offline","Gedeeltelijke terugbetaling offline"
"Partial Refund Online","Gedeeltelijke terugbetaling online"
"Partially completed: %s","Gedeeltelijk voltooid: %s"
"Patch","Patch"
"Patch Files List","Lijst patchbestanden"
"Path","Pad"
"Payment Methods","Betalingsmethoden"
"Payments Functionality Matrix","Betalingen-functionaliteitsmatrix"
"Payments Functionality Matrix is not available. ReflectionProperty::setAccessible is required for data collection, but it was implemented in PHP 5.3.0; your PHP version is lower.","Betalingen-functionaliteitsmatrix is niet beschikbaar. ReflectionProperty::setAccessible is vereist voor het verzamelen van gegevens, maar werd geïmplementeerd in PHP 5.3.0; uw PHP-versie is lager."
"Permissions","Machtigingen"
"Please select report(s) to delete.","Selecteer verslag(en) om te verwijderen."
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Voorbereiden van gegevens voor het systeemverslag: één-rijmodus gedetecteerd, maar de gegevens kunnen onvolledig zijn."
"Processing","Verwerken"
"Processing ...","Verwerken..."
"Product Attributes","Product Kenmerken"
"Product Attributes Flat Table Row Size","Rijgrootte Flat Table product-attributen"
"Product Eav Attributes","Product-eav-attributen"
"Product Types:","Producttypes:"
"Ready","Gereed"
"Refresh Status","Status vernieuwen"
"Refund Offline","Offline restitutie"
"Refund Online","Online terugbetalen"
"Reindex Required","Herindexering noodzakelijk"
"Remote Address","Extern adres"
"Report","Verslag"
"Report Types","Soorten verslagen"
"Report Version","Versie van verslag"
"Requested report doesn't exist","Gevraagd verslag bestaat niet."
"Requested system report has no data to display.","Gevraagd systeemverslag heeft geen gegevens om te tonen."
"Requested system report has no data to output.","Gevraagd systeemverslag heeft geen gegevens om uit te voeren."
"Requested system report no longer exists.","Gevraagd systeemverslag bestaat niet meer."
"Returns:","Teruggestuurd:"
"Reversion","Reversion"
"Rewrites","Rewrites"
"Rma Item Eav Attributes","Eav-attributen rma-item"
"Root Category","Root Category"
"Router Rewrites","Router-rewrites"
"Routine Name","Routinenaam"
"Run Class","Run-class"
"Run Method","Run-methode"
"SKU","SKU"
"Sales Orders","Verkoop Bestellingen"
"Schedule Id","Schedule-id"
"Scheduled","Gepland"
"Scheduled At","Gepland om"
"Scope","Reikwijdte"
"Scopes Count","Aantal scopes"
"Search Engine","Zoekmachine"
"Server Address","Serveradres"
"Shipping Methods","Versturing Methodes"
"Shopping Cart Price Rules","Winkelwagen Prijs Reglement"
"Show Log","Toon log"
"Size","Grote"
"Skin (Images / CSS)","Skin (Afbeeldingen / CSS)"
"Skins List","Lijst skins"
"Solr Search","Solr-zoekopdracht"
"Solution","Oplossing"
"Solution Version","Oplossing-versie"
"Source Model","Bron model"
"State","Provincie"
"Status","Status"
"Status Code","Code status"
"Store","Winkel"
"Store Views List","Lijst winkel-weergaven"
"Stores","Warenhuizen"
"Stores List","Lijst winkels"
"Support","Ondersteuning"
"Support Module doesn't support %s operation system","Ondersteuningmodule ondersteunt niet besturingssysteem %s"
"System Backups","Systeem back-ups"
"System Report Information","Informatie in systeemverslag"
"System Reports","Systeemverslagen"
"TOTALS:","TOTALEN:"
"Target Rules","Target Regels"
"Tax Rules","Fiscale regels"
"Templates Theme","Sjablonenthema"
"The backup has been deleted.","De back-up is verwijderd."
"The backup has been saved.","De back-up is opgeslagen."
"The system report has been deleted.","Het systeemverslag is verwijderd."
"The system report has been generated.","Het systeemverslag is gegenereerd."
"Themes List","Lijst thema's"
"There was an error while loading system report data.","Er is een fout opgetreden tijdens het laden van systeemverslaggegevens."
"Title","Titel"
"To","Aan"
"Today's Top Exception Messages","Top exception-berichten van vandaag"
"Today's Top System Messages","Top systeemberichten van vandaag"
"Top","Top"
"Top Exception Messages","Top exception-berichten"
"Top System Messages","Top systeemberichten"
"Total of %d system report(s) have been deleted.","In totaal zijn %d systeemverslag(en) gewist."
"Translations Theme","Vertalingen-thema"
"Type","Type"
"Types","Types"
"URL Redirects","URL Redirects"
"URL Rewrites","URL Rewrites"
"URL key","URL-key"
"Unable to find a system report to delete.","Kan geen systeemverslag vinden om te verwijderen."
"Unable to generate HTML system report.","Kan geen systeemverslag in HTML genereren."
"Unable to read system report data to display.","Kan niet de systeemverslag-gegevens lezen om te laten zien."
"Unknown Status","Onbekende Status"
"Update Required","Update is Nodig"
"Update Time","Updatetijd"
"Updated At","Geüpdate op"
"Use HTTP Only","Gebruik alleen HTTP"
"Use SID on Frontend","Gebruik SID op Frontend"
"User Defined","Door gebruiker gedefinieerd"
"User Defined Eav Attributes","Door gebruiker gedefinieerde eav-attributen"
"VIA PBridge","VIA PBridge"
"Validate HTTP_USER_AGENT","Valideer HTTP_USER_AGENT"
"Validate HTTP_VIA","Valideer HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valideer HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valideer REMOTE_ADDR"
"Value","Waarde"
"Value after 10 sec","Waarde na 10 sec"
"Variable","Variabele"
"Version","Version"
"View","Bekijk"
"Void","Geldig"
"Warning","Waarschuwing"
"Website","Website"
"Websites List","Lijst websites"
"Websites Tree","Websites-tree"
"Windows","Vensters"
"Wrong param id","Verkeerde param id"
"Yes","Ja"
"You are running the sysreport tool on Magento Enterprise Edition %s. This version of Magento is currently not compatible with the tool.","U draait de sysreport-tool op Magento Enterprise Edition %s. Deze versie van Magento is momenteel niet compatibel met de tool."
"[%s days ago]","[%s dagen geleden]"
"[%s hours ago]","[%s uur geleden]"
"[%s minutes ago]","[%s minuten geleden]"
"[%s months ago]","[%s maanden geleden]"
"[%s weeks ago]","[%s weken geleden]"
"[%s years ago]","[%s jaar geleden]"
"[Default]","[Standaard]"
"[VIEW]","[WEERGAVE]"
"bytes","bytes"
"n/a","n.v.t."
"~ Rows","~ Rijen"
"~ Size","~ Grootte"
